date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:38:48	5381/5381	---M--	200	added ('OK')	text/html	etag:%22e62f5d61117ccc1:1666%22	http://jiba.niu.bi/chapters/0015.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0015.html	(from http://jiba.niu.bi/)
10:38:48	4965/4965	---M--	200	added ('OK')	text/html	etag:%2226cc5d61117ccc1:1666%22	http://jiba.niu.bi/chapters/0016.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0016.html	(from http://jiba.niu.bi/)
10:38:49	5653/5653	---M--	200	added ('OK')	text/html	etag:%22768f5e61117ccc1:1666%22	http://jiba.niu.bi/chapters/0017.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0017.html	(from http://jiba.niu.bi/)
10:38:49	3804/3804	---M--	200	added ('OK')	text/html	etag:%22c6525f61117ccc1:1666%22	http://jiba.niu.bi/chapters/0018.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0018.html	(from http://jiba.niu.bi/)
10:38:49	4695/4695	---M--	200	added ('OK')	text/html	etag:%2216166061117ccc1:1666%22	http://jiba.niu.bi/chapters/0019.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0019.html	(from http://jiba.niu.bi/)
10:38:50	4159/4159	---M--	200	added ('OK')	text/html	etag:%2266d96061117ccc1:1666%22	http://jiba.niu.bi/chapters/0020.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0020.html	(from http://jiba.niu.bi/)
10:38:50	3800/3800	---M--	200	added ('OK')	text/html	etag:%22a6756161117ccc1:1666%22	http://jiba.niu.bi/chapters/0021.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0021.html	(from http://jiba.niu.bi/)
10:38:50	18285/18285	---M--	200	added ('OK')	text/html	etag:%2216876261117ccc1:1666%22	http://jiba.niu.bi/chapters/0022.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0022.html	(from http://jiba.niu.bi/)
10:38:51	6463/6463	---M--	200	added ('OK')	text/html	etag:%22664a6361117ccc1:1666%22	http://jiba.niu.bi/chapters/0023.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0023.html	(from http://jiba.niu.bi/)
10:38:51	15065/15065	---M--	200	added ('OK')	text/html	etag:%22a6e66361117ccc1:1666%22	http://jiba.niu.bi/chapters/0024.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0024.html	(from http://jiba.niu.bi/)
10:38:52	19066/19066	---M--	200	added ('OK')	text/html	etag:%22f6a96461117ccc1:1666%22	http://jiba.niu.bi/chapters/0025.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0025.html	(from http://jiba.niu.bi/)
